CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,2
12747,1,11,4196.01,3
12748,0,209,33719.73,2
12749,3,5,4090.88,1
12820,2,4,942.34,1
12821,213,1,92.72,0
12822,70,2,948.88,1
12823,74,5,1759.5,1
12824,59,1,397.12,1
12826,2,7,1474.72,1
12827,5,3,430.15,1
12828,2,6,1018.71,1
12829,336,2,293.0,0
12830,37,6,6814.64,1
12831,261,1,215.05,0
12832,31,2,383.03,1
12833,144,1,417.38,0
12834,282,1,312.38,0
12836,58,4,2612.86,1
12837,172,1,134.1,0
12838,33,2,683.13,1
12839,2,14,5591.42,3
12840,143,4,2726.77,1
12841,4,25,4022.35,3
12842,69,2,1118.99,1
12843,65,8,1702.26,1
12844,28,2,325.96000000000004,1
12845,266,4,354.09000000000003,0
12847,21,1,871.54,1
12849,30,2,1050.89,1
12851,96,1,135.18,1
12852,294,1,311.55,0
12853,134,6,1957.1,1
12854,78,3,1324.5,1
12855,372,1,38.1,0
12856,7,6,2179.93,1
12857,210,2,1106.4,0
12863,51,1,521.2,1
12864,137,1,147.12,1
12867,25,7,4036.82,1
12868,185,6,1607.0600000000002,0
12871,83,2,380.64,1
12872,326,2,599.97,0
12873,281,1,374.0,0
12875,142,2,343.2300000000001,1
12877,3,12,1535.77,3
12878,235,2,854.99,0
12879,44,3,573.22,1
12881,275,1,298.0,0
12882,8,2,1463.04,1
12883,24,4,703.47,1
12884,87,1,309.05,1
12885,62,3,1175.22,1
12886,67,2,1378.4,1
12888,213,2,354.12,0
12890,23,1,380.47,1
12891,185,3,331.0,0
12893,30,1,188.14,1
12895,41,2,372.8,1
12897,204,2,216.5,0
12901,8,28,17654.54,3
12902,264,1,138.68,0
12904,17,2,509.58,1
12906,11,5,2919.81,1
12908,175,2,750.0,0
12909,39,5,2178.67,1
12910,22,8,3075.04,1
12912,2,5,1662.3,1
12913,4,5,2483.63,1
12915,148,2,363.65,0
12916,138,4,3006.15,1
12917,127,1,594.0,1
12919,7,6,1335.19,1
12920,16,1,164.23,1
12921,8,37,16587.09,3
12922,160,1,405.38,0
12923,63,1,176.97,1
12924,87,4,933.7,1
12925,4,2,694.05,1
12928,34,5,2062.7,1
12929,311,1,117.85,0
12930,77,2,415.8,1
12931,21,15,42055.96,3
12933,23,3,607.53,1
12935,1,7,2160.7,1
12936,16,4,1063.9,1
12937,14,4,1504.27,1
12938,25,1,114.14,1
12939,63,8,11581.8,3
12940,54,2,913.54,1
12942,130,3,683.9,1
12944,35,2,604.51,1
12945,287,1,462.95,0
12947,143,6,1603.99,1
12948,15,7,2064.95,1
12949,30,8,4167.22,1
12950,1,3,1843.0,1
12951,8,6,1064.07,1
12952,5,4,1387.79,1
12953,9,1,329.85,1
12955,0,11,4757.16,3
12956,305,1,108.07,0
12957,9,8,4017.54,1
12962,6,2,266.39,1
12963,7,8,1856.63,1
12965,88,1,771.91,1
12966,9,1,160.18,1
12967,357,2,1660.9,0
12968,111,1,135.95,1
12970,6,4,452.24,1
12971,3,86,11189.91,2
12974,197,1,144.8,0
12976,211,1,738.6,0
12977,155,1,39.24,0
12980,157,9,7374.900000000001,1
12981,29,2,372.22,1
12982,242,1,390.54,0
12984,18,1,97.5,1
12985,0,2,1239.38,1
12987,73,2,558.7,1
12988,291,1,535.32,0
12989,2,15,6924.11,3
12990,30,3,409.5,1
12991,22,2,503.76,1
12993,22,4,414.76,1
12994,3,3,974.42,1
12995,84,1,211.32,1
12997,21,4,1226.89,1
12999,195,3,455.88,0
13000,106,3,534.85,1
13001,3,13,9818.82,3
13002,317,1,120.95,0
13003,105,3,149.05,1
13004,11,18,5655.91,3
13005,173,2,513.7,0
13006,55,1,81.57,1
13008,322,1,229.47,0
13011,371,1,50.55,0
13012,8,8,1661.84,1
13013,0,13,4810.9400000000005,3
13014,10,10,3466.28,1
13015,52,5,3346.28,1
13016,72,3,789.89,1
13017,6,1,204.0,1
13018,15,28,7277.7,3
13021,3,9,2616.38,1
13023,63,2,689.9,1
13026,0,5,975.36,1
13027,113,6,6912.0,1
13028,22,2,661.3199999999999,1
13029,30,3,1247.5,1
13030,10,2,799.48,1
13032,51,2,1010.18,1
13033,356,1,190.55,0
13034,54,2,642.77,1
13035,73,2,921.88,1
13037,137,3,881.07,1
13038,79,3,908.46,1
13040,8,2,676.99,1
13043,272,1,516.42,0
13044,290,1,560.47,0
13045,98,1,305.28000000000003,1
13046,30,2,629.31,1
13047,31,10,3237.54,1
13048,13,4,1835.91,1
13049,63,2,656.6800000000001,1
13050,14,17,5836.86,3
13052,211,1,348.15000000000003,0
13055,77,3,1214.41,1
13058,24,3,271.40000000000003,1
13059,249,1,183.4,0
13060,253,1,307.53000000000003,0
13061,71,1,248.61,1
13062,190,1,346.98,0
13064,12,4,1119.49,1
13065,372,1,205.86,0
13066,23,2,470.8,1
13067,81,1,115.46,1
13068,9,2,344.0,1
13069,0,24,4436.12,3
13070,191,1,228.8,0
13072,266,1,177.15,0
13075,129,1,919.61,1
13077,0,4,729.27,1
13078,2,26,12627.94,3
13079,3,5,220.1,1
13080,178,1,58.08,0
13081,11,11,28337.38,3
13082,125,9,3613.63,1
13083,3,2,303.75,1
13085,157,2,416.08,0
13089,2,97,58825.83,2
13090,8,14,8910.82,3
13091,27,1,345.82,1
13092,70,5,477.83,1
13093,275,8,7832.47,0
13094,20,12,1927.32,3
13095,70,1,74.39999999999999,1
13097,32,10,6010.42,3
13098,0,28,28882.44,3
13099,98,1,207.36,1
13101,233,1,101.19,0
13102,0,24,6424.09,3
13103,39,1,243.94,1
13104,2,6,1098.48,1
13106,132,1,76.5,1
13107,43,4,1531.62,1
13108,372,1,350.06,0
13109,59,2,786.54,1
13110,30,7,1488.67,1
13113,0,24,12245.96,3
13115,11,4,2294.78,1
13116,137,1,501.14,1
13117,21,8,984.91,1
13118,19,5,1197.81,1
13120,238,1,30.6,0
13121,268,1,283.73,0
13122,93,2,922.39,1
13124,89,3,3866.33,1
13126,4,8,2099.64,1
13127,77,1,259.17,1
13130,93,1,64.0,1
13131,22,3,1073.3,1
13132,261,1,77.3,0
13133,273,2,109.8,0
13134,85,4,1793.58,1
13135,196,1,3096.0,0
13136,55,5,2607.61,1
13137,10,8,3650.41,1
13138,21,6,962.39,1
13139,15,7,5064.9400000000005,1
13140,107,3,423.72,1
13141,84,5,2388.75,1
13142,18,1,307.09000000000003,1
13144,332,1,110.95,0
13145,39,4,618.52,1
13146,25,1,228.91,1
13147,9,4,712.8,1
13148,28,12,3707.12,3
13149,13,4,1676.06,1
13151,295,1,1257.87,0
13153,5,1,486.22,1
13155,32,4,971.76,1
13157,48,4,1741.22,1
13158,94,4,1201.06,1
13159,8,4,1437.85,1
13160,21,1,91.8,1
13161,312,1,112.75,0
13162,121,4,1688.29,1
13165,45,2,1021.48,1
13166,282,1,417.2,0
13167,18,4,791.33,1
13168,35,4,1319.19,1
13169,63,2,712.88,1
13170,26,1,116.01,1
13171,21,3,468.41,1
13173,3,2,353.65000000000003,1
13174,15,3,2817.03,1
13176,45,1,492.84,1
13177,64,1,282.45,1
13178,25,11,5725.47,3
13182,44,1,121.18,1
13183,7,9,3957.78,1
13184,14,10,1701.29,1
13185,267,1,71.4,0
13186,39,3,1575.89,1
13187,336,1,236.02,0
13188,10,1,114.6,1
13189,18,2,260.68,1
13192,94,2,911.94,1
13193,60,1,117.88,1
13194,135,1,60.7,1
13196,10,4,1797.78,1
13198,9,6,3401.24,1
13199,3,38,9817.12,3
13200,18,4,870.09,1
13203,9,4,869.46,1
13207,14,2,250.26,1
13208,58,6,1223.9,1
13209,29,8,5891.61,1
13210,93,1,353.48,1
13211,9,3,1197.42,1
13212,19,3,788.08,1
13213,56,5,1520.58,1
13216,267,1,333.74,0
13217,121,3,533.98,1
13218,126,1,62.64,1
13220,77,4,819.2900000000001,1
13221,239,2,847.41,0
13223,199,2,163.2,0
13224,59,2,2155.95,1
13225,2,7,6463.84,1
13226,272,1,108.21,0
13227,201,1,257.7,0
13228,80,1,358.0,1
13229,225,1,160.95,0
13230,3,14,2806.97,3
13232,12,7,1357.6,1
13233,73,2,605.12,1
13235,211,1,1031.07,0
13236,23,2,744.85,1
13238,16,4,700.73,1
13239,261,1,329.56,0
13240,95,4,663.65,1
13242,111,3,270.40000000000003,1
13243,202,1,600.07,0
13244,92,1,121.74,1
13245,50,1,430.5,1
13246,17,6,1987.3,1
13247,17,4,501.12,1
13248,124,2,465.68,1
13249,91,3,711.41,1
13253,156,2,1030.4,0
13255,8,2,399.51,1
13258,11,3,698.5799999999999,1
13259,61,1,292.32,1
13260,60,1,557.62,1
13261,268,2,944.1,0
13262,262,1,200.29,0
13263,0,35,7454.07,3
13265,52,5,2107.66,1
13266,10,12,3834.26,3
13267,2,19,4521.49,3
13268,17,11,3214.69,3
13269,0,15,5346.2300000000005,3
13270,365,1,590.0,0
13271,36,1,217.38,1
13272,30,2,276.56,1
13273,112,1,138.98,1
13276,63,2,590.9300000000001,1
13277,15,4,258.4,1
13278,40,1,542.73,1
13279,77,1,137.75,1
13280,121,3,814.86,1
13282,17,3,1132.14,1
13283,59,2,93.66,1
13284,330,1,201.19,0
13285,22,4,2709.12,1
13291,155,1,361.11,0
13292,38,2,578.94,1
13294,189,2,873.74,0
13295,359,1,201.2,0
13296,136,1,87.4,1
