CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,325,1,77183.6,2,Champion
12747,1,11,4196.01,3,Loyal
12748,0,209,33719.73,2,Champion
12749,3,5,4090.88,1,Potential Loyalist
12820,2,4,942.34,1,Potential Loyalist
12821,213,1,92.72,0,Churn Risk
12822,70,2,948.88,1,Potential Loyalist
12823,74,5,1759.5,1,Potential Loyalist
12824,59,1,397.12,1,Potential Loyalist
12826,2,7,1474.72,1,Potential Loyalist
12827,5,3,430.15,1,Potential Loyalist
12828,2,6,1018.71,1,Potential Loyalist
12829,336,2,293.0,0,Churn Risk
12830,37,6,6814.64,1,Potential Loyalist
12831,261,1,215.05,0,Churn Risk
12832,31,2,383.03,1,Potential Loyalist
12833,144,1,417.38,0,Churn Risk
12834,282,1,312.38,0,Churn Risk
12836,58,4,2612.86,1,Potential Loyalist
12837,172,1,134.1,0,Churn Risk
12838,33,2,683.13,1,Potential Loyalist
12839,2,14,5591.42,3,Loyal
12840,143,4,2726.77,1,Potential Loyalist
12841,4,25,4022.35,3,Loyal
12842,69,2,1118.99,1,Potential Loyalist
12843,65,8,1702.26,1,Potential Loyalist
12844,28,2,325.96000000000004,1,Potential Loyalist
12845,266,4,354.09000000000003,0,Churn Risk
12847,21,1,871.54,1,Potential Loyalist
12849,30,2,1050.89,1,Potential Loyalist
12851,96,1,135.18,1,Potential Loyalist
12852,294,1,311.55,0,Churn Risk
12853,134,6,1957.1,1,Potential Loyalist
12854,78,3,1324.5,1,Potential Loyalist
12855,372,1,38.1,0,Churn Risk
12856,7,6,2179.93,1,Potential Loyalist
12857,210,2,1106.4,0,Churn Risk
12863,51,1,521.2,1,Potential Loyalist
12864,137,1,147.12,1,Potential Loyalist
12867,25,7,4036.82,1,Potential Loyalist
12868,185,6,1607.0600000000002,0,Churn Risk
12871,83,2,380.64,1,Potential Loyalist
12872,326,2,599.97,0,Churn Risk
12873,281,1,374.0,0,Churn Risk
12875,142,2,343.2300000000001,1,Potential Loyalist
12877,3,12,1535.77,3,Loyal
12878,235,2,854.99,0,Churn Risk
12879,44,3,573.22,1,Potential Loyalist
12881,275,1,298.0,0,Churn Risk
12882,8,2,1463.04,1,Potential Loyalist
12883,24,4,703.47,1,Potential Loyalist
12884,87,1,309.05,1,Potential Loyalist
12885,62,3,1175.22,1,Potential Loyalist
12886,67,2,1378.4,1,Potential Loyalist
12888,213,2,354.12,0,Churn Risk
12890,23,1,380.47,1,Potential Loyalist
12891,185,3,331.0,0,Churn Risk
12893,30,1,188.14,1,Potential Loyalist
12895,41,2,372.8,1,Potential Loyalist
12897,204,2,216.5,0,Churn Risk
12901,8,28,17654.54,3,Loyal
12902,264,1,138.68,0,Churn Risk
12904,17,2,509.58,1,Potential Loyalist
12906,11,5,2919.81,1,Potential Loyalist
12908,175,2,750.0,0,Churn Risk
12909,39,5,2178.67,1,Potential Loyalist
